quantidade de objs,fps
133,273.857707824879
223,153.802786377128
312,99.3559785413093
400,67.8153997004734
489,48.5450936365534
575,38.5594925017069
664,31.0021687247336
753,24.81911333817
834,20.6947034567269
925,17.4336766040385
994,14.7208788875033
1069,13.0394794871581
1083,13.8355766238465
1089,13.6463394206265
1089,13.3340490919159
1090,13.2502708208114
1092,13.7371344376768
1092,13.5246262916295
1092,13.3926306107615
1092,13.0560492810735
1094,13.1146114062884
1095,13.2492681987515
1095,12.9693663566692
1096,13.1696312400801
1105,12.8021264923016
1105,11.7469650859154
1116,11.9950296435525
