quantidade de objs,fps
48,63.6294222421597
48,63.5895386131119
48,63.5392064130211
48,63.4612106914723
48,63.2972629367633
48,63.2603098473144
48,63.2142647472362
48,63.1001272804216
48,62.9158626194268
48,62.8331841768477
48,59.6246034977058
48,59.1907441476793
48,59.0437858847944
48,58.6181933295782
49,59.4737760306846
49,59.3875951192185
49,58.3525896905819
49,58.0194481180789
48,39.9852054753661
70,58.1945151642633
70,58.1905644000695
70,57.7491684089517
70,57.4887202326217
70,57.3676838244042
70,57.3260822199914
71,57.9931471418477
71,57.9623341437289
71,57.9256254256833
70,57.063186062531
70,56.8906419650604
71,57.6853188936606
71,57.4756686370129
71,57.1844656473672
71,57.1478643850527
72,57.4218178040613
72,56.76818710918
72,56.6860753454853
73,57.0155766565429
72,55.2184672641922
70,52.8687462881816
71,52.4579615009452
93,55.4233605784483
93,55.2641395602934
92,54.5784000502621
92,54.5009124391244
92,54.4983877578292
92,54.4832940584496
93,54.8133923757722
93,54.1435127926157
94,54.6307281442445
93,53.898137910405
92,53.2978488072883
94,54.3746193785246
94,54.2263570841605
94,54.195597329543
94,54.0991854441152
94,53.9032705789872
94,53.755204174231
96,54.2750169394642
96,54.0461175497467
96,53.8980410761993
93,50.6289807029984
98,52.9860275841523
114,52.7717945339651
115,52.8923288490925
115,52.7732334161653
115,52.7672927200979
115,52.487147211538
116,52.5865574724844
116,52.581488158445
116,52.3225089692025
116,52.1584469287428
116,52.1210215344752
116,52.0489051520324
116,52.0345058147798
117,52.4632363870619
117,51.51505785156
117,49.9485529918997
117,49.7348139725903
117,49.7148851338161
116,49.0993220346285
119,49.2297997820761
118,48.7004290526438
116,45.1774434441053
119,46.2815976039736
136,49.2688017139348
136,48.7655013334401
136,48.5611807763402
136,47.995515300661
137,48.1403387169824
138,48.2613836541503
138,48.0821011487124
138,47.9236595273621
138,47.8672277991888
138,47.591806977433
138,47.5457366217611
139,47.7621064989261
138,47.4035196163529
139,47.6790778481967
139,47.573015064286
139,47.4238870303971
140,47.5442446763094
139,46.933020948264
138,46.4175837212205
136,45.347401911085
138,43.7262074765799
156,46.619698874151
156,46.4377594687333
158,46.7475836176766
159,46.8717336278772
158,46.5703715575233
158,46.4492778537868
159,46.6303509483181
160,46.8428833474996
160,46.746316156718
159,46.3458606189899
160,46.4431512587072
160,45.9248999294541
160,45.8738322819032
161,46.136740070523
162,46.2518431370273
161,45.8365724492148
161,45.802645563303
161,45.6521362009308
160,45.2467804662855
162,45.6771593190807
162,45.1069757032318
137,36.5655446519102
159,41.2292245917497
178,45.8072613680772
178,45.4807589109478
178,45.3915337530359
178,44.9657675628813
181,45.6343447713909
178,44.847996684837
181,45.4056312061015
180,45.0644105629365
178,44.5183250781138
180,44.7833248409157
180,44.5468030990438
181,44.6197106681241
181,44.5862882871377
181,44.4483163862578
181,44.1171539852246
184,44.8247174261694
183,44.5097253757933
183,44.4619525732128
183,44.4198457221441
181,43.8434193648193
183,44.2362000760462
182,42.0882506428332
198,44.6130221856589
198,44.5867654007809
198,44.5779802616799
198,44.5092895341817
198,44.1335481144086
198,43.5598503623796
201,44.1706258263891
198,43.3386350917729
201,43.730605478575
201,43.5030765373861
201,43.4752743072774
201,43.4247163060055
201,43.3987091478958
202,43.4989890852277
203,43.4631054745204
201,42.7890593504496
203,42.4517048179883
204,42.3925328121619
219,43.1019248470067
220,43.0262606478418
220,43.0121586772754
220,42.9579467464593
219,42.75711564034
221,42.8331929826988
221,42.6089275924466
224,42.5654358454008
222,42.1831999511122
224,42.4586983019959
224,42.4316023801022
223,42.1370921858441
224,42.0600685081167
204,38.279526672533
224,41.7191284696069
224,41.6740985476645
224,41.5716753901194
204,37.1246925607402
221,39.741600118193
224,39.3543524937497
224,39.3025757901335
201,35.0831338715801
225,38.6696854799346
242,39.2173780038384
243,39.1551493429311
242,38.7389690800346
242,38.6699097819099
224,35.7411554042881
244,38.5786469131186
244,38.5770842477504
245,38.4992973873747
244,38.2891635926422
243,37.986488206076
244,38.1187991447384
245,38.2620240816851
245,38.0160560804561
246,37.953904983362
247,38.0921181682073
246,37.680572368661
244,37.1663967466296
247,37.6060372735001
246,37.2475200152541
247,37.2152567672694
243,36.5019455539716
249,36.8351259771956
243,34.91223935864
267,37.1158050228527
267,36.9573392200009
266,36.7960907829985
266,36.7833003799351
267,36.8269529108143
267,36.646648434826
266,36.373920261628
266,36.282199316956
266,36.1126208210536
270,36.6192386504927
267,36.1483564682177
269,36.2371029884417
268,36.0144922314441
270,36.2629572086397
269,36.030031030938
269,35.9634287889468
268,35.8064233130502
271,36.0456482097644
271,35.8302862668546
270,35.4445275417212
266,34.153705335815
287,35.8827745643235
271,33.8682255082342
287,35.293567481819
290,35.1567993232589
287,34.7211673263287
290,34.9535161943038
289,34.7293067586773
290,34.6034530767907
290,34.4087501443936
289,34.2860571469008
292,34.3897876077269
289,34.0296653615987
291,34.2235154912041
292,34.3146758723962
292,33.8092263674378
293,33.8820818836176
292,33.73685422332
292,33.6753060663122
289,33.2775379947873
291,32.9247915436512
296,33.4057123762831
308,34.1035332130672
309,34.1682341349797
308,34.0187545392416
309,33.6430173068984
307,33.3371393233605
309,33.1474589580927
309,32.9567475637867
311,33.1488873987772
309,32.8704354266613
311,33.0224544442086
312,33.1065808443677
311,32.9483592134952
311,32.7011385715026
313,32.3461817759237
292,29.5634658628471
328,32.9389714972685
331,33.0169484255211
328,32.4116014091022
330,32.5116290045012
330,32.2713634409124
332,32.0995857545526
308,29.6136894215056
312,29.9399703580622
308,29.5484407285623
313,29.8610862276407
306,28.4521733192257
331,30.6757876007352
332,29.9985600673197
332,29.7916372872056
333,29.8517264754426
332,29.7559712794128
332,29.4648592256627
331,29.349325454769
333,29.344875652815
334,29.4049323819766
332,29.1731171668551
334,29.3192366449106
334,29.0498097723907
334,29.034992973449
334,28.912848002571
333,28.6260634588223
330,28.1708127840679
351,29.0181140742046
352,28.7701894798886
353,28.8414671065417
353,28.5256245687776
353,28.3850872324718
354,28.451795546414
353,28.164650546137
354,28.208771235042
354,27.9916286359147
354,27.6758384407649
357,27.8107386549661
356,27.6988105221425
358,27.7804529322424
357,27.6638692358202
357,27.5920424552332
371,28.6647117316497
357,27.575886540825
355,27.3637989692206
371,28.421552252741
359,27.0465200146275
354,26.5343956521045
355,26.6011686792321
373,27.9375651302368
373,27.6047115710103
371,27.4282203483269
373,27.5651939814592
374,27.6139859307997
377,27.8200229971472
312,22.9177154707575
376,27.5166498669384
376,27.3659456349106
355,25.797663763049
377,27.3296225789536
374,27.0570091184162
375,27.0178506938435
377,26.9151473075218
376,26.7621540334286
374,26.5495183919133
376,26.5419783497557
390,27.4176169160592
390,27.3756347737297
376,26.3510397687904
393,27.401889816172
377,26.2349673624776
394,27.2723305829215
393,27.1628412335778
377,26.0504858412137
395,27.0421072655279
379,25.9399110607706
393,26.876229586828
394,26.9013178947878
392,26.677764616018
375,25.4546411017589
395,26.7386590198934
392,26.5004792157635
392,26.3639151813217
394,26.4683306413277
391,26.2453184920922
397,26.3446067748471
394,26.1093197222748
397,26.2464665689342
395,26.0406946607062
393,25.6934226549706
396,25.839214626297
394,24.5666242744864
413,25.6323938776026
414,25.5930332360911
414,25.3203873001592
416,25.421897574862
416,25.3733476656662
417,25.3810112807878
418,25.4344414565381
416,25.1941418586962
416,25.17190312215
419,25.0702384521305
418,24.9972711311295
416,24.871167351788
416,24.7751244548424
418,24.8078631002836
434,25.5830810555603
421,24.7734059138641
420,24.6665290820388
416,24.2577335674576
419,24.2490474173469
435,25.0863597950558
437,24.8779529086752
415,23.6229772814558
420,23.7784042945591
440,24.7259540093664
358,19.9264514675268
435,24.1939776348462
440,24.4674456560743
438,24.1222903634862
440,24.1007410975223
440,24.096037164855
443,24.2405829379983
438,23.8701274111376
440,23.8489313285031
438,23.7369001982516
434,23.2644885421483
442,23.6140333475197
439,23.3982348366617
440,23.3744437856975
438,23.2659860589059
441,23.3826239045758
459,23.2394742610783
460,22.8378285793035
462,22.9255264272931
460,22.7625892288885
460,22.7175661311853
462,22.7862407561273
461,22.6540589275578
464,22.7396934244047
463,22.5453725619755
435,19.6951583397673
