quantidade de objs,fps

257,186.77733049166184

471,64.45833735368738

669,33.64454537806403

674,25.089899323087156

667,26.059585192371067

664,26.042762018689928

658,27.34455849002741

643,28.90069000397241

636,31.63955898013626

632,31.31685122482841

630,31.100248293504183

624,31.665614279742915

602,32.61734311578574

592,34.33055297315636

592,36.27444369538298

581,35.699517164030055

580,36.132335420905996

572,36.881060424184895

560,37.260124904876996

547,39.08345633904786

535,40.98034582616717

