quantidade de objs,fps
50,71.04085584468578
71,65.11971389479046
93,51.90424445473582
113,67.90216994850577
136,63.96164539931279
162,61.5321861715881
160,60.16583294721859
181,56.99422078596339
202,55.465214990487304
224,52.814428582958335
245,51.26130940196591
267,49.43663459365014
264,49.39548655983559
289,45.80741189818391
310,43.62977734291051
329,42.61917846175235
353,41.353562898462286
375,39.63659779859203
372,38.3667675629127
406,34.99391805694328
415,33.22261442531197
435,34.835553544087986
459,32.37744650840397
480,32.14148901032501
480,31.5973751863571
507,29.713611300151523
528,28.181189026707614
548,26.814717009195103
567,26.586200412956877
592,25.488221892644756
591,23.77586963216703
614,22.991747870358278
632,22.776909284352786
652,21.591753912856817
675,20.620978172777587
698,20.73106726643469
683,20.861838303416206
673,20.787032692599002
701,20.448979795471693
722,19.310789026943464
740,19.173833911335965
759,18.249557670218163
784,17.871587283938435
777,17.76973357291966
810,17.45139089579896
837,15.755559583080522
850,15.725273187278898
865,15.272868016008045
901,14.924617250738207
903,13.922412483576359
928,13.744676146957543
943,13.03832465832986
956,12.96873367996396
979,13.40837787230975
1007,12.80888313782104
